id,seasonNum,episodeNum,sceneNo,sceneStart,sceneEnd,location,subLocation,greensight,altLocation,warg,flashback
0,1,1,1,0:00:40,0:01:45,The Wall,Castle Black,,,,
1,1,1,2,0:01:45,0:03:24,North of the Wall,The Haunted Forest,,,,
2,1,1,3,0:03:24,0:03:31,North of the Wall,The Haunted Forest,,,,
3,1,1,4,0:03:31,0:03:38,North of the Wall,The Haunted Forest,,,,
4,1,1,5,0:03:38,0:03:44,North of the Wall,The Haunted Forest,,,,
5,1,1,6,0:03:44,0:05:36,North of the Wall,The Haunted Forest,,,,
6,1,1,7,0:05:36,0:05:41,North of the Wall,The Haunted Forest,,,,
7,1,1,8,0:05:41,0:05:48,North of the Wall,The Haunted Forest,,,,
8,1,1,9,0:05:48,0:05:58,North of the Wall,The Haunted Forest,,,,
9,1,1,10,0:05:58,0:06:21,North of the Wall,The Haunted Forest,,,,
10,1,1,11,0:06:21,0:06:39,North of the Wall,The Haunted Forest,,,,
11,1,1,12,0:06:39,0:06:49,North of the Wall,The Haunted Forest,,,,
12,1,1,13,0:06:49,0:07:45,North of the Wall,The Haunted Forest,,,,
13,1,1,14,0:09:27,0:12:38,The North,Winterfell,,,,
14,1,1,15,0:12:38,0:15:41,The North,Outside Winterfell,,,,
15,1,1,16,0:15:41,0:18:44,The North,Outside Winterfell,,,,
16,1,1,17,0:18:44,0:20:45,The Crownlands,King's Landing,,,,
17,1,1,18,0:20:45,0:22:43,The North,Winterfell,,,,
18,1,1,19,0:22:43,0:23:09,The North,Winterfell,,,,
19,1,1,20,0:23:09,0:23:39,The North,Winterfell,,,,
20,1,1,21,0:23:39,0:29:16,The North,Winterfell,,,,
21,1,1,22,0:29:16,0:30:47,The North,Winterfell,,,,
22,1,1,23,0:30:47,0:32:57,The North,Winterfell,,,,
23,1,1,24,0:32:57,0:33:45,The North,Winterfell,,,,
24,1,1,25,0:33:45,0:36:17,Pentos,,,,,
25,1,1,26,0:36:17,0:38:23,Pentos,,,,,
26,1,1,27,0:38:23,0:40:05,Pentos,,,,,
27,1,1,28,0:40:05,0:40:56,The North,Winterfell,,,,
28,1,1,29,0:40:56,0:41:19,The North,Winterfell,,,,
29,1,1,30,0:41:19,0:44:14,The North,Winterfell,,,,
30,1,1,31,0:44:14,0:47:28,The North,Winterfell,,,,
31,1,1,32,0:47:28,0:50:29,The North,Winterfell,,,,
32,1,1,33,0:50:29,0:56:05,Pentos,,,,,
33,1,1,34,0:56:05,0:57:48,Pentos,,,,,
