id,seasonNum,episodeNum,sceneNo,characterName
0,1,1,1,Gared
1,1,1,1,Waymar Royce
2,1,1,1,Will
3,1,1,2,Gared
4,1,1,2,Waymar Royce
5,1,1,2,Will
6,1,1,3,Will
7,1,1,3,Wight Wildling Girl
8,1,1,4,Will
9,1,1,6,Gared
10,1,1,6,Waymar Royce
11,1,1,6,Will
12,1,1,7,Will
13,1,1,8,Gared
14,1,1,8,Waymar Royce
15,1,1,9,Will
16,1,1,10,Gared
17,1,1,10,Waymar Royce
18,1,1,10,White Walker
19,1,1,11,Will
20,1,1,12,Will
21,1,1,12,Wight Wildling Girl
22,1,1,13,Will
23,1,1,13,Gared
24,1,1,13,White Walker
25,1,1,14,Will
26,1,1,14,Jon Snow
27,1,1,14,Bran Stark
28,1,1,14,Robb Stark
29,1,1,14,Eddard Stark
30,1,1,14,Catelyn Stark
31,1,1,14,Rickon Stark
32,1,1,14,Sansa Stark
33,1,1,14,Arya Stark
34,1,1,14,Theon Greyjoy
35,1,1,14,Rodrik Cassel
36,1,1,14,Septa Mordane
37,1,1,15,Will
38,1,1,15,Eddard Stark
39,1,1,15,Robb Stark
40,1,1,15,Theon Greyjoy
41,1,1,15,Bran Stark
42,1,1,15,Rodrik Cassel
43,1,1,15,Jory Cassel
44,1,1,15,Jon Snow
45,1,1,16,Jon Snow
46,1,1,16,Eddard Stark
47,1,1,16,Theon Greyjoy
48,1,1,16,Bran Stark
49,1,1,16,Robb Stark
50,1,1,16,Rodrik Cassel
51,1,1,16,Jory Cassel
52,1,1,16,Grey Wind
53,1,1,16,Lady
54,1,1,16,Nymeria
55,1,1,16,Summer
56,1,1,16,Shaggydog
57,1,1,16,Ghost
58,1,1,17,Jon Arryn
59,1,1,17,Cersei Lannister
60,1,1,17,Jaime Lannister
61,1,1,18,Catelyn Stark
62,1,1,18,Eddard Stark
63,1,1,19,Catelyn Stark
64,1,1,19,Maester Luwin
65,1,1,20,Robb Stark
66,1,1,20,Theon Greyjoy
67,1,1,20,Jon Snow
68,1,1,21,Bran Stark
69,1,1,21,Catelyn Stark
70,1,1,21,Maester Luwin
71,1,1,21,Summer
72,1,1,21,Arya Stark
73,1,1,21,Joffrey Baratheon
74,1,1,21,Sandor Clegane
75,1,1,21,Rickon Stark
76,1,1,21,Eddard Stark
77,1,1,21,Sansa Stark
78,1,1,21,Theon Greyjoy
79,1,1,21,Jon Snow
80,1,1,21,Jory Cassel
81,1,1,21,Hodor
82,1,1,21,Rodrik Cassel
83,1,1,21,Robert Baratheon
84,1,1,21,Cersei Lannister
85,1,1,21,Jaime Lannister
86,1,1,21,Myrcella Baratheon
87,1,1,21,Tommen Baratheon
88,1,1,22,Robert Baratheon
89,1,1,22,Eddard Stark
90,1,1,23,Jaime Lannister
91,1,1,23,Tyrion Lannister
92,1,1,23,Ros
93,1,1,24,Robert Baratheon
94,1,1,24,Eddard Stark
95,1,1,25,Daenerys Targaryen
96,1,1,25,Viserys Targaryen
97,1,1,26,Daenerys Targaryen
98,1,1,26,Viserys Targaryen
99,1,1,26,Illyrio Mopatis
100,1,1,26,Khal Drogo
101,1,1,26,Qotho
102,1,1,27,Viserys Targaryen
103,1,1,27,Illyrio Mopatis
104,1,1,27,Daenerys Targaryen
105,1,1,28,Catelyn Stark
106,1,1,28,Sansa Stark
107,1,1,29,Robert Baratheon
108,1,1,29,Catelyn Stark
109,1,1,29,Cersei Lannister
110,1,1,29,Rodrik Cassel
111,1,1,30,Jon Snow
112,1,1,30,Benjen Stark
113,1,1,30,Tyrion Lannister
114,1,1,31,Rodrik Cassel
115,1,1,31,Benjen Stark
116,1,1,31,Eddard Stark
117,1,1,31,Robb Stark
118,1,1,31,Robert Baratheon
119,1,1,31,Catelyn Stark
120,1,1,31,Cersei Lannister
121,1,1,31,Sansa Stark
122,1,1,31,Joffrey Baratheon
123,1,1,31,Jaime Lannister
124,1,1,31,Arya Stark
125,1,1,31,Theon Greyjoy
126,1,1,32,Eddard Stark
127,1,1,32,Catelyn Stark
128,1,1,32,Maester Luwin
129,1,1,33,Khal Drogo
130,1,1,33,Daenerys Targaryen
131,1,1,33,Viserys Targaryen
132,1,1,33,Illyrio Mopatis
133,1,1,33,Qotho
134,1,1,33,Jorah Mormont
135,1,1,33,Drogon
136,1,1,33,Rhaegal
137,1,1,33,Viserion
138,1,1,34,Khal Drogo
139,1,1,34,Daenerys Targaryen
140,1,1,35,Tyrion Lannister
141,1,1,35,Sandor Clegane
142,1,1,35,Theon Greyjoy
143,1,1,35,Eddard Stark
144,1,1,35,Benjen Stark
145,1,1,35,Robb Stark
146,1,1,35,Robert Baratheon
147,1,1,35,Bran Stark
148,1,1,35,Summer
149,1,1,36,Bran Stark
150,1,1,36,Summer
151,1,1,36,Jaime Lannister
152,1,1,36,Cersei Lannister
153,1,2,1,Jorah Mormont
154,1,2,1,Daenerys Targaryen
155,1,2,1,Khal Drogo
156,1,2,1,Viserys Targaryen
157,1,2,1,Doreah
158,1,2,1,Irri
159,1,2,1,Jhiqui
160,1,2,2,Tyrion Lannister
161,1,2,2,Joffrey Baratheon
162,1,2,2,Sandor Clegane
163,1,2,3,Tyrion Lannister
164,1,2,3,Jaime Lannister
165,1,2,3,Cersei Lannister
166,1,2,3,Tommen Baratheon
167,1,2,3,Myrcella Baratheon
